President,First,Middle,Last
William Aldridge,William , ,Aldridge
Joseph S. Allen,Joseph ,S. ,Allen
Lewis Allen,Lewis , ,Allen
Philo Allen,Philo , ,Allen
Rufus Allen,Rufus , ,Allen
Martin C. Allred,Martin ,C. ,Allred
William M. Allred,William ,M. ,Allred
Milo Andros,Milo , ,Andros
Sampson Avard,Sampson , ,Avard
Elijah Averett,Elijah , ,Averett
Elisha Averett,Elisha , ,Averett
Daniel Avery,Daniel , ,Avery
Caleb Baldwin,Caleb , ,Baldwin
Israel Barlow,Israel , ,Barlow
Lorenzo D. Barnes,Lorenzo ,D. ,Barnes
Ethan Barrows,Ethan , ,Barrows
Thomas Beck,Thomas , ,Beck
Alfred Benjamin Benson,Alfred ,Benjamin ,Benson
Samuel Bent,Samuel , ,Bent
Titus Billings,Titus , ,Billings
Ezekiel Billington,Ezekiel , ,Billington
Erastus Bingham,Erastus , ,Bingham
James R. Bingham,James ,R. ,Bingham
William B. Bosley,William ,B. ,Bosley
Squire Bozarth,Squire , ,Bozarth
Truman Brace,Truman , ,Brace
James Brashear,James , ,Brashear
Alanson Brown,Alanson , ,Brown
Ebenezer Brown,Ebenezer , ,Brown
Samuel Brown,Samuel , ,Brown
Alfred Brunson,Alfred , ,Brunson
Ebenezer Brunson,Ebenezer , ,Brunson
Seymour Brunson,Seymour , ,Brunson
Zeno Brunson,Zeno , ,Brunson
John Buchanan,John , ,Buchanan
John L. Butler,John ,L. ,Butler
Reynolds Cahoon,Reynolds , ,Cahoon
Anson Call,Anson , ,Call
Daniel Carn,Daniel , ,Carn
Warner Carner,Warner , ,Carner
William Carruth,William , ,Carruth
Daniel Carter,Daniel , ,Carter
Gideon H. Carter,Gideon ,H. ,Carter
Jared Carter,Jared , ,Carter
Eli Chase,Eli , ,Chase
John Darwin Chase,John ,Darwin ,Chase
Benjamin L. Clapp,Benjamin ,L. ,Clapp
Hiram Clark,Hiram , ,Clark
John W. Clark,John ,W. ,Clark
Joseph Clark,Joseph , ,Clark
Moses Clawson,Moses , ,Clawson
Joseph W. Coolidge,Joseph ,W. ,Coolidge
Joseph Corlay,Joseph , ,Corlay
Benjamin Covey,Benjamin , ,Covey
Ralph Cox,Ralph , ,Cox
John Crush,John , ,Crush
Moses Daley,Moses , ,Daley
Cyrus Daniels,Cyrus , ,Daniels
She?eld Daniels,She?eld , ,Daniels
Solomon Daniels,Solomon , ,Daniels
Isaac Decker,Isaac , ,Decker
Philo Dibble,Philo , ,Dibble
Jonathan Dunham,Jonathan , ,Dunham
James Dunn,James , ,Dunn
Benjamin T. Durfee,Benjamin ,T. ,Durfee
Jabez Durfee,Jabez , ,Durfee
James Durfee,James , ,Durfee
Perry Durfee,Perry , ,Durfee
George P. Dykes,George ,P. ,Dykes
John T. Earl,John ,T. ,Earl
Elisha F. Edwards,Elisha ,F. ,Edwards
Thomas S. Edwards,Thomas ,S. ,Edwards
William H. Edwards,William ,H. ,Edwards
William W. Edwards,William ,W. ,Edwards
James Emmett,James , ,Emmett
John M. Fausett,John ,M. ,Fausett
King Follett,King , ,Follett
Timothy B. Foote,Timothy ,B. ,Foote
David Frampton,David , ,Frampton
William C. Gallagher,William ,C. ,Gallagher
Freeburn H. Gardner,Freeburn ,H. ,Gardner
Morgan L. Gardner,Morgan ,L. ,Gardner
Jacob Gates,Jacob , ,Gates
George W. Gee,George ,W. ,Gee
Luman Gibbs,Luman , ,Gibbs
Stephen H. Goddard,Stephen ,H. ,Goddard
Dr. Gourze,Dr. , ,Gourze
George D. Grant,George ,D. ,Grant
Harvey Green,Harvey , ,Green
Addison F. Greene,Addison ,F. ,Greene
John P. Greene,John ,P. ,Greene
Clark Hallet,Clark , ,Hallet
Levi W. Hancock,Levi ,W. ,Hancock
Dwight Hardin[g],Dwight , ,Hardin[g]
George W. Harris,George ,W. ,Harris
Anthony Head,Anthony , ,Head
Norval M. Head,Norval ,M. ,Head
James M. Henderson,James ,M. ,Henderson
James Hendricks,James , ,Hendricks
William Hewitt,William , ,Hewitt
Elias Higbee,Elias , ,Higbee
Chauncey L. Higbee,Chauncey ,L. ,Higbee
Francis M. Higbee,Francis ,M. ,Higbee
Isaac Higbee,Isaac , ,Higbee
John S. Higbee,John ,S. ,Higbee
Harrison H. Hills,Harrison ,H. ,Hills
Abraham C. Hodge,Abraham ,C. ,Hodge
Curtis Hodge,Curtis , ,Hodge
Chandler Holbrook,Chandler , ,Holbrook
Joseph Holbrook,Joseph , ,Holbrook
Richard Howard,Richard , ,Howard
Sylvester Hulet,Sylvester , ,Hulet
Je?erson Hunt,Je?erson , ,Hunt
Jesse D. Hunter,Jesse ,D. ,Hunter
Joseph Hunter,Joseph , ,Hunter
Dimick B. Huntington,Dimick ,B. ,Huntington
Oliver B. Huntington,Oliver ,B. ,Huntington
Benjamin F. Johnson,Benjamin ,F. ,Johnson
Huntington Johnson,Huntington , ,Johnson
Mahlon Johnson,Mahlon , ,Johnson
Benjamin Jones,Benjamin , ,Jones
David Judah,David , ,Judah
Perry Keyes,Perry , ,Keyes
George Kimball,George , ,Kimball
Newel Knight,Newel , ,Knight
Vinson Knight,Vinson , ,Knight
Edward Leakey,Edward , ,Leakey
Alfred Lee,Alfred , ,Lee
John D. Lee,John ,D. ,Lee
John Lemmon,John , ,Lemmon
Cornelius P. Lott,Cornelius ,P. ,Lott
John Lowry,John , ,Lowry
Amasa M. Lyman ,Amasa ,M. ,
Alexander McRae,Alexander , ,McRae
Thomas D. March,Thomas ,D. ,March
Jotham Maynard,Jotham , ,Maynard
Nelson Maynard,Nelson , ,Maynard
Silas Maynard,Silas , ,Maynard
Daniel S. Miles,Daniel ,S. ,Miles
Ira S. Miles,Ira ,S. ,Miles
Joel S. Miles,Joel ,S. ,Miles
Arthur Millikin,Arthur , ,Millikin
Andrew Moore,Andrew , ,Moore
George Morey,George , ,Morey
Isaac Morley,Isaac , ,Morley
Arthur Morrison,Arthur , ,Morrison
Justus Morse,Justus , ,Morse
Jeremiah Myers,Jeremiah , ,Myers
Abraham Nelson,Abraham , ,Nelson
Hyrum Nelson,Hyrum , ,Nelson
James Newberry,James , ,Newberry
Elijah Newman,Elijah , ,Newman
Patrick O’Bannion,Patrick , ,O’Bannion
Harvey Olmstead,Harvey , ,Olmstead
William Osborne,William , ,Osborne
Ephraim Owens,Ephraim , ,Owens
Zedekiah Owens,Zedekiah , ,Owens
Ebenezer Page,Ebenezer , ,Page
James B. Finley Page,James ,B. ,Page
Edward Partridge,Edward , ,Partridge
David W. Patten,David ,W. ,Patten
Reed Peck,Reed , ,Peck
David Pettegrew,David , ,Pettegrew
Morris Phelps,Morris , ,Phelps
Nathan Pinkham,Nathan , ,Pinkham
George W. Pitkin,George ,W. ,Pitkin
Parley P. Pratt,Parley ,P. ,Pratt
James B. Prie or Gree,James ,B. ,Gree
Levi Harlow Redfield,Levi ,Harlow ,Redfield
Charles C. Rich,Charles ,C. ,Rich
Thomas Rich,Thomas , ,Rich
Phineas Richards,Phineas , ,Richards
Sidney Rigdon,Sidney , ,Rigdon
Burr Riggs,Burr , ,Riggs
Alanson Ripley,Alanson , ,Ripley
Andrew Ripley,Andrew , ,Ripley
Ebenezer Robinson,Ebenezer , ,Robinson
George W. Robinson,George ,W. ,Robinson
Orrin Porter Rockwell,Orrin ,Porter ,Rockwell
Albert P. Rockwood,Albert ,P. ,Rockwood
James H. Rollins,James ,H. ,Rollins
Joseph Rose,Joseph , ,Rose
John N. Sapp,John ,N. ,Sapp
John Scott,John , ,Scott
Absalom Scritchfield,Absalom , ,Scritchfield
William S. Seeley,William ,S. ,Seeley
Daniel Shearer,Daniel , ,Shearer
Norman B. Shearer,Norman ,B. ,Shearer
Luman A. Shurtli?,Luman ,A. ,Shurtli?
Benjamin Slade,Benjamin , ,Slade
James Sloan,James , ,Sloan
Elias Smith,Elias , ,Smith
George A. Smith,George ,A. ,Smith
Hyrum Smith,Hyrum , ,Smith
Jackson O. Smith,Jackson ,O. ,Smith
John Smith,John , ,Smith
Joseph Smith Jr.,Joseph ,Smith ,Jr.
Samuel H. Smith,Samuel ,H. ,Smith
Abraham O. Smoot,Abraham ,O. ,Smoot
Roswell Stevens,Roswell , ,Stevens
Riley Stewart,Riley , ,Stewart
William Jackson Stewart,William ,Jackson ,Stewart
Captain [Henry] Still[e],Captain ,[Henry] ,Still[e]
Allen J. Stout,Allen ,J. ,Stout
Hosea Stout,Hosea , ,Stout
William Stringham,William , ,Stringham
William Swartzell,William , ,Swartzell
John J. Tanner,John ,J. ,Tanner
Nathan Tanner,Nathan , ,Tanner
Sidney Tanner,Sidney , ,Tanner
John Telford,John , ,Telford
Ezra Thayre,Ezra , ,Thayre
Daniel S. Thomas,Daniel ,S. ,Thomas
Robert B. Thompson,Robert ,B. ,Thompson
Alva L. Tippetts,Alva ,L. ,Tippetts
Amos Tubbs,Amos , ,Tubbs
Ferdinand Van Dyke,Ferdinand ,Van ,Dyke
George Washington Vorhees,George ,Washington ,Vorhees
Oliver Weatherby,Oliver , ,Weatherby
James Whitaker,James , ,Whitaker
Lyman Wight,Lyman , ,Wight
William Wightman,William , ,Wightman
Ezra G. Williams,Ezra ,G. ,Williams
James Wilson,James , ,Wilson
Stephen Winchester,Stephen , ,Winchester
Solomon Wixom,Solomon , ,Wixom
John Wood,John , ,Wood
James Worthington,James , ,Worthington
Gad Yale,Gad , ,Yale
Lorenzo D. Young,Lorenzo ,D. ,Young
Phineas H. Young,Phineas ,H. ,Young
Joseph W. Younger,Joseph ,W. ,Younger